Número REDS;Qtde Ocorrências;Natureza Principal Completa;Ano Fato;Mês Fato Resumido;Mês Numérico Fato;Data Fato;Dia da Semana Fato;Horário Fato;Faixa 1 Hora Fato;Faixa 6 Horas Fato;Alvo;Causa Presumida;Desc Longa Meio Utilizado;Descrição Grupo Local Imediato;Descrição Local Imediato;Logradouro Ocorrência - Tipo;Bairro;Bairro Não Cadastrado;Bairro - FATO FINAL;Bairro - FATO FINAL - Municipio;Município;Município - Código;UF - Sigla;RISP ;RMBH 
2024-047170563-001;1;FURTO CONSUMADO;2024;OUT;10;20/10/2024;DOMINGO;01:59:18;De 01:00 as 01:59        ;De 00:00 as 05:59        ;Outros;VANTAGEM ECONOMICA;CONHECIMENTO TECNICO ESPECIFICO;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RUA;LOTEAMENTO BENEDITO DE PAIVA ROSA;;LOTEAMENTO BENEDITO DE PAIVA ROSA;LOTEAMENTO BENEDITO DE PAIVA ROSA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-057267222-001;1;FURTO CONSUMADO;2022;DEZ;12;31/12/2022;SÁBADO;18:07:15;De 18:00 as 18:59;De 18:00 as 23:59;Residência;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;RESIDENCIA UNIFAMILIAR URBANA;CASA;RUA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-000626455-001;1;FURTO CONSUMADO;2022;DEZ;12;31/12/2022;SÁBADO;02:00:00;De 02:00 as 02:59;De 00:00 as 05:59;Outros;IGNORADO;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;RESIDENCIA UNIFAMILIAR URBANA;CASA;RUA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-030517885-001;1;FURTO CONSUMADO;2022;JUN;6;15/06/2022;QUARTA-FEIRA;15:39:00;De 15:00 as 15:59;De 12:00 as 17:59;Residência;OUTRAS MOTIVACOES/CAUSAS ;MEIO DESCONHECIDO;RESIDENCIA UNIFAMILIAR URBANA;APARTAMENTO;AVENIDA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-030786788-001;1;FURTO CONSUMADO;2022;JUN;6;18/06/2022;SÁBADO;16:00:00;De 16:00 as 16:59;De 12:00 as 17:59;Outros;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);CONDOMINIO;CONDOMINIO FECHADO;AVENIDA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-030803185-001;1;FURTO CONSUMADO;2022;JUN;6;20/06/2022;SEGUNDA-FEIRA;16:00:00;De 16:00 as 16:59;De 12:00 as 17:59;Outros;OUTRAS MOTIVACOES/CAUSAS ;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);RESIDENCIA UNIFAMILIAR URBANA;APARTAMENTO;AVENIDA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-030822335-001;1;FURTO CONSUMADO;2022;JUL;7;04/07/2022;SEGUNDA-FEIRA;16:00:00;De 16:00 as 16:59;De 12:00 as 17:59;Outros;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);RESIDENCIA UNIFAMILIAR URBANA;APARTAMENTO;AVENIDA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-006608169-001;1;FURTO CONSUMADO;2022;FEV;2;12/02/2022;SÁBADO;07:00:00;De 07:00 as 07:59;De 06:00 as 11:59;Estabelecimento Comercial;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;ESTABELECIMENTO COMERCIAL / SERVICOS;BAR / LANCHONETE / RESTAURANTE / SIMILAR;RUA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-001408326-001;1;FURTO CONSUMADO;2023;JAN;1;01/01/2023;DOMINGO;10:00:00;De 10:00 as 10:59;De 06:00 as 11:59;Outros;IGNORADO;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);VIA DE ACESSO;VIA DE ACESSO PUBLICA;AVENIDA;GUANABARA;;GUANABARA;GUANABARA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-030064244-001;1;FURTO CONSUMADO;2023;JUN;6;27/06/2023;TERÇA-FEIRA;15:09:05;De 15:00 as 15:59;De 12:00 as 17:59;Residência;VANTAGEM ECONOMICA;ABUSO DE CONFIANCA;VIA DE ACESSO;VIA DE ACESSO PUBLICA;TRAVESSA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-009212003-001;1;FURTO CONSUMADO;2023;FEV;2;25/02/2023;SÁBADO;09:33:26;De 09:00 as 09:59;De 06:00 as 11:59;Estabelecimento Comercial;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);ESTABELECIMENTO COMERCIAL / SERVICOS;LOJA DIVERSA;PRACA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-005654853-001;1;FURTO CONSUMADO;2024;FEV;2;05/02/2024;SEGUNDA-FEIRA;17:38:31;De 17:00 as 17:59        ;De 12:00 as 17:59        ;Estabelecimento Comercial;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);ESTABELECIMENTO COMERCIAL / SERVICOS;LOJA DE DEPARTAMENTOS;PRACA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-030618585-001;1;FURTO CONSUMADO;2024;JUL;7;07/07/2024;DOMINGO;06:00:00;De 06:00 as 06:59        ;De 06:00 as 11:59        ;Outros;VANTAGEM ECONOMICA;ABUSO DE CONFIANCA;VIA DE ACESSO;VIA DE ACESSO PUBLICA;PRACA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-005079859-001;1;FURTO CONSUMADO;2023;FEV;2;01/02/2023;QUARTA-FEIRA;08:00:00;De 08:00 as 08:59;De 06:00 as 11:59;Estabelecimento Comercial;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;ESTABELECIMENTO COMERCIAL / SERVICOS;ESTACIONAMENTO / GARAGEM;PRACA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
