Número REDS;Qtde Ocorrências;Natureza Principal Completa;Ano Fato;Mês Fato Resumido;Mês Numérico Fato;Data Fato;Dia da Semana Fato;Horário Fato;Faixa 1 Hora Fato;Faixa 6 Horas Fato;Alvo;Causa Presumida;Desc Longa Meio Utilizado;Descrição Grupo Local Imediato;Descrição Local Imediato;Logradouro Ocorrência - Tipo;Bairro;Bairro Não Cadastrado;Bairro - FATO FINAL;Bairro - FATO FINAL - Municipio;Município;Município - Código;UF - Sigla;RISP ;RMBH 
2025-005406313-001;1;FURTO CONSUMADO;2025;FEV;2;02/02/2025;DOMINGO;10:00:00;De 10:00 as 10:59        ;De 06:00 as 11:59        ;Transeunte;VANTAGEM ECONOMICA;MEDIANTE FRAUDE;ESTABELECIMENTO COMERCIAL / SERVICOS;POSTO DE COMBUSTIVEL;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-042623706-001;1;FURTO CONSUMADO;2022;SET;9;15/09/2022;QUINTA-FEIRA;12:00:00;De 12:00 as 12:59;De 12:00 as 17:59;Outros;OUTRAS MOTIVACOES/CAUSAS ;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);VIA DE ACESSO;VIA DE ACESSO PUBLICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2025-010218542-001;1;FURTO CONSUMADO;2025;MAR;3;04/03/2025;TERÇA-FEIRA;04:16:04;De 04:00 as 04:59        ;De 00:00 as 05:59        ;Outros;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;VIA DE ACESSO;VIA DE ACESSO PARTICULAR/PRIVADA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2025-013967686-001;1;FURTO CONSUMADO;2025;MAR;3;26/03/2025;QUARTA-FEIRA;05:03:50;De 05:00 as 05:59        ;De 00:00 as 05:59        ;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;ESTABELECIMENTO COMERCIAL / SERVICOS;POSTO DE COMBUSTIVEL;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-009126838-001;1;FURTO CONSUMADO;2022;FEV;2;25/02/2022;SEXTA-FEIRA;18:15:00;De 18:00 as 18:59;De 18:00 as 23:59;Residência;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;IMOVEL RURAL;SITIO;BAIRRO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-022434356-001;1;FURTO CONSUMADO;2022;MAI;5;26/05/2022;QUINTA-FEIRA;12:48:35;De 12:00 as 12:59;De 12:00 as 17:59;Residência;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;RESIDENCIA UNIFAMILIAR URBANA;CASA;BAIRRO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-030910497-001;1;FURTO CONSUMADO;2022;JUL;7;18/07/2022;SEGUNDA-FEIRA;06:40:56;De 06:00 as 06:59;De 06:00 as 11:59;Outros;VANTAGEM ECONOMICA;CONHECIMENTO TECNICO ESPECIFICO;IMOVEL RURAL;SITIO;BAIRRO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-002257505-001;1;FURTO CONSUMADO;2023;JAN;1;15/01/2023;DOMINGO;07:53:30;De 07:00 as 07:59;De 06:00 as 11:59;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;IMOVEL RURAL;SITIO;BAIRRO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-014108251-001;1;FURTO CONSUMADO;2023;MAR;3;25/03/2023;SÁBADO;20:00:00;De 20:00 as 20:59;De 18:00 as 23:59;Residência;VANTAGEM ECONOMICA;ABUSO DE CONFIANCA;RESIDENCIA UNIFAMILIAR URBANA;CASA;BAIRRO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-040864046-001;1;FURTO CONSUMADO;2023;AGO;8;31/08/2023;QUINTA-FEIRA;16:43:00;De 16:00 as 16:59        ;De 12:00 as 17:59        ;Transeunte;VANTAGEM ECONOMICA;ABUSO DE CONFIANCA;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-060144874-001;1;FURTO CONSUMADO;2023;DEZ;12;20/12/2023;QUARTA-FEIRA;21:00:00;De 21:00 as 21:59        ;De 18:00 as 23:59        ;Outros;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);VIA DE ACESSO;VIA DE ACESSO PUBLICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2025-013112594-001;1;FURTO CONSUMADO;2025;MAR;3;20/03/2025;QUINTA-FEIRA;00:46:00;De 00:00 as 00:59        ;De 00:00 as 05:59        ;Outros;IGNORADO;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;DEPOSITO;OUTROS - DEPOSITO EM GERAL;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-006606997-001;1;FURTO CONSUMADO;2022;FEV;2;12/02/2022;SÁBADO;08:44:10;De 08:00 as 08:59;De 06:00 as 11:59;Outros;VANTAGEM ECONOMICA;CONHECIMENTO TECNICO ESPECIFICO;VIA DE ACESSO;VIA DE ACESSO PARTICULAR/PRIVADA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-009205419-001;1;FURTO CONSUMADO;2022;MAR;3;01/03/2022;TERÇA-FEIRA;04:00:00;De 04:00 as 04:59;De 00:00 as 05:59;Estabelecimento Comercial;VANTAGEM ECONOMICA;CONHECIMENTO TECNICO ESPECIFICO;ESTABELECIMENTO COMERCIAL / SERVICOS;POSTO DE COMBUSTIVEL;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-016770243-001;1;FURTO CONSUMADO;2022;ABR;4;20/04/2022;QUARTA-FEIRA;00:00:00;De 00:00 as 00:59;De 00:00 as 05:59;Cargas;PREENCHIMENTO OPCIONAL;PREENCHIMENTO OPCIONAL;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-052201451-001;1;FURTO CONSUMADO;2022;NOV;11;28/11/2022;SEGUNDA-FEIRA;21:00:00;De 21:00 as 21:59;De 18:00 as 23:59;Estabelecimento Comercial;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;ESTABELECIMENTO COMERCIAL / SERVICOS;OFICINA ELETRICA / LANTERNAGEM / MECANICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-023579053-001;1;FURTO CONSUMADO;2023;MAI;5;15/05/2023;SEGUNDA-FEIRA;19:48:00;De 19:00 as 19:59;De 18:00 as 23:59;Estabelecimento Comercial;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;ESTABELECIMENTO COMERCIAL / SERVICOS;POSTO DE COMBUSTIVEL;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-038122370-001;1;FURTO CONSUMADO;2023;JUL;7;25/07/2023;TERÇA-FEIRA;00:00:00;De 00:00 as 00:59;De 00:00 as 05:59;Outros;PREENCHIMENTO OPCIONAL;PREENCHIMENTO OPCIONAL;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-057958410-001;1;FURTO CONSUMADO;2023;DEZ;12;13/12/2023;QUARTA-FEIRA;22:00:00;De 22:00 as 22:59        ;De 18:00 as 23:59        ;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO COM EXPLOSIVOS;ESTABELECIMENTO COMERCIAL / SERVICOS;ESTACIONAMENTO / GARAGEM;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-042329851-001;1;FURTO CONSUMADO;2024;SET;9;19/09/2024;QUINTA-FEIRA;22:30:00;De 22:00 as 22:59        ;De 18:00 as 23:59        ;Outros;VANTAGEM ECONOMICA;EMPREGO DE CHAVE FALSA / MICHA / GAZUA;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2025-011377739-001;1;FURTO CONSUMADO;2025;MAR;3;11/03/2025;TERÇA-FEIRA;00:00:00;De 00:00 as 00:59        ;De 00:00 as 05:59        ;Outros;PREENCHIMENTO OPCIONAL;PREENCHIMENTO OPCIONAL;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2025-012412029-001;1;FURTO CONSUMADO;2025;MAR;3;17/03/2025;SEGUNDA-FEIRA;02:48:58;De 02:00 as 02:59        ;De 00:00 as 05:59        ;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-022113834-001;1;FURTO CONSUMADO;2022;MAI;5;22/05/2022;DOMINGO;01:03:00;De 01:00 as 01:59;De 00:00 as 05:59;Outros;OUTRAS MOTIVACOES/CAUSAS ;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);ESTABELECIMENTO COMERCIAL / SERVICOS;POSTO DE COMBUSTIVEL;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-044869693-001;1;FURTO CONSUMADO;2022;OUT;10;11/10/2022;TERÇA-FEIRA;03:00:00;De 03:00 as 03:59;De 00:00 as 05:59;Outros;IGNORADO;MEIO DESCONHECIDO;ESTABELECIMENTO COMERCIAL / SERVICOS;POSTO DE COMBUSTIVEL;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-049299462-001;1;FURTO CONSUMADO;2022;NOV;11;09/11/2022;QUARTA-FEIRA;12:45:00;De 12:00 as 12:59;De 12:00 as 17:59;Outros;IGNORADO;MEIO DESCONHECIDO;ESTABELECIMENTO COMERCIAL / SERVICOS;POSTO DE COMBUSTIVEL;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-009480388-001;1;FURTO CONSUMADO;2023;FEV;2;27/02/2023;SEGUNDA-FEIRA;06:49:30;De 06:00 as 06:59;De 06:00 as 11:59;Outros;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;INSTITUICAO DE ENSINO;INSTITUICAO DE ENSINO PUBLICO MUNICIPAL;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-011617644-001;1;FURTO CONSUMADO;2023;FEV;2;28/02/2023;TERÇA-FEIRA;08:30:00;De 08:00 as 08:59;De 06:00 as 11:59;Outros;OUTRAS MOTIVACOES/CAUSAS ;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);IMOVEL RURAL;FAZENDA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-005330842-001;1;FURTO CONSUMADO;2022;FEV;2;04/02/2022;SEXTA-FEIRA;02:00:00;De 02:00 as 02:59;De 00:00 as 05:59;Outros;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;ESTABELECIMENTO COMERCIAL / SERVICOS;POSTO DE COMBUSTIVEL;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-009343578-001;1;FURTO CONSUMADO;2022;FEV;2;28/02/2022;SEGUNDA-FEIRA;05:30:00;De 05:00 as 05:59;De 00:00 as 05:59;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;ESTABELECIMENTO INDUSTRIAL / PRODUCAO / EXTRA;OUTROS - ESTABELECIMENTO INDUSTRIAL / PRODUCA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-012237935-001;1;FURTO CONSUMADO;2022;MAR;3;20/03/2022;DOMINGO;03:00:00;De 03:00 as 03:59;De 00:00 as 05:59;Outros;BRIGA / ATRITO;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);IMOVEL RURAL;SITIO;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-013588316-001;1;FURTO CONSUMADO;2022;MAR;3;27/03/2022;DOMINGO;00:00:00;De 00:00 as 00:59;De 00:00 as 05:59;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;ESTABELECIMENTO INDUSTRIAL / PRODUCAO / EXTRA;OUTROS - ESTABELECIMENTO INDUSTRIAL / PRODUCA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-018102792-001;1;FURTO CONSUMADO;2022;ABR;4;28/04/2022;QUINTA-FEIRA;02:50:00;De 02:00 as 02:59;De 00:00 as 05:59;Outros;IGNORADO;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);EMBARCACAO AEREA / AQUATICA / TERRESTRE;ONIBUS;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-037991888-001;1;FURTO CONSUMADO;2022;AGO;8;30/08/2022;TERÇA-FEIRA;10:00:00;De 10:00 as 10:59;De 06:00 as 11:59;Outros;IGNORADO;MEIO DESCONHECIDO;VIA DE ACESSO;VIA DE ACESSO PARTICULAR/PRIVADA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-042293962-001;1;FURTO CONSUMADO;2022;SET;9;23/09/2022;SEXTA-FEIRA;03:00:00;De 03:00 as 03:59;De 00:00 as 05:59;Outros;IGNORADO;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);ESTABELECIMENTO COMERCIAL / SERVICOS;POSTO DE COMBUSTIVEL;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-045150934-001;1;FURTO CONSUMADO;2022;OUT;10;14/10/2022;SEXTA-FEIRA;05:00:00;De 05:00 as 05:59;De 00:00 as 05:59;Outros;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);ESTABELECIMENTO COMERCIAL / SERVICOS;ESTACIONAMENTO / GARAGEM;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-005973937-001;1;FURTO CONSUMADO;2023;FEV;2;06/02/2023;SEGUNDA-FEIRA;00:00:00;De 00:00 as 00:59;De 00:00 as 05:59;Outros;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-012837188-001;1;FURTO CONSUMADO;2023;MAR;3;18/03/2023;SÁBADO;11:12:03;De 11:00 as 11:59;De 06:00 as 11:59;Outros;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-022363076-001;1;FURTO CONSUMADO;2023;MAI;5;09/05/2023;TERÇA-FEIRA;01:08:00;De 01:00 as 01:59;De 00:00 as 05:59;Outros;OUTRAS MOTIVACOES/CAUSAS ;CONHECIMENTO TECNICO ESPECIFICO;ESTABELECIMENTO INDUSTRIAL / PRODUCAO / EXTRA;OUTROS - ESTABELECIMENTO INDUSTRIAL / PRODUCA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-031056245-001;1;FURTO CONSUMADO;2023;JUL;7;01/07/2023;SÁBADO;03:00:00;De 03:00 as 03:59;De 00:00 as 05:59;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;ESTABELECIMENTO INDUSTRIAL / PRODUCAO / EXTRA;OUTROS - ESTABELECIMENTO INDUSTRIAL / PRODUCA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-056933539-001;1;FURTO CONSUMADO;2023;NOV;11;28/11/2023;TERÇA-FEIRA;14:00:00;De 14:00 as 14:59        ;De 12:00 as 17:59        ;Cargas;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);ESTABELECIMENTO COMERCIAL / SERVICOS;OUTROS - ESTABELECIMENTOS COMERCIAIS / SERVIC;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-010392363-001;1;FURTO CONSUMADO;2024;MAR;3;05/03/2024;TERÇA-FEIRA;19:30:00;De 19:00 as 19:59        ;De 18:00 as 23:59        ;Outros;OUTRAS MOTIVACOES/CAUSAS ;MEIO DESCONHECIDO;VIA DE ACESSO;VIA DE ACESSO PUBLICA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-011459837-001;1;FURTO CONSUMADO;2024;MAR;3;08/03/2024;SEXTA-FEIRA;13:00:00;De 13:00 as 13:59        ;De 12:00 as 17:59        ;Outros;OUTRAS MOTIVACOES/CAUSAS ;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);ESTABELECIMENTO COMERCIAL / SERVICOS;BAR / LANCHONETE / RESTAURANTE / SIMILAR;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-016420169-001;1;FURTO CONSUMADO;2024;MAR;3;13/03/2024;QUARTA-FEIRA;12:00:00;De 12:00 as 12:59        ;De 12:00 as 17:59        ;Outros;OUTRAS MOTIVACOES/CAUSAS ;MEIO DESCONHECIDO;ESTABELECIMENTO INDUSTRIAL / PRODUCAO / EXTRA;OUTROS - ESTABELECIMENTO INDUSTRIAL / PRODUCA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-028771710-001;1;FURTO CONSUMADO;2024;JUN;6;26/06/2024;QUARTA-FEIRA;01:30:00;De 01:00 as 01:59        ;De 00:00 as 05:59        ;Outros;OUTRAS MOTIVACOES/CAUSAS ;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;ESTABELECIMENTO COMERCIAL / SERVICOS;POSTO DE COMBUSTIVEL;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-032984704-001;1;FURTO CONSUMADO;2024;JUL;7;22/07/2024;SEGUNDA-FEIRA;14:00:00;De 14:00 as 14:59        ;De 12:00 as 17:59        ;Outros;OUTRAS MOTIVACOES/CAUSAS ;EMPREGO DE CHAVE FALSA / MICHA / GAZUA;ESTABELECIMENTO COMERCIAL / SERVICOS;POSTO DE COMBUSTIVEL;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-036178094-001;1;FURTO CONSUMADO;2024;AGO;8;09/08/2024;SEXTA-FEIRA;16:30:00;De 16:00 as 16:59        ;De 12:00 as 17:59        ;Outros;IGNORADO;MEIO DESCONHECIDO;EMBARCACAO AEREA / AQUATICA / TERRESTRE;ONIBUS;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-036781384-001;1;FURTO CONSUMADO;2024;AGO;8;14/08/2024;QUARTA-FEIRA;22:00:00;De 22:00 as 22:59        ;De 18:00 as 23:59        ;Outros;VANTAGEM ECONOMICA;CONHECIMENTO TECNICO ESPECIFICO;VIA DE ACESSO;VIA DE ACESSO PARTICULAR/PRIVADA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-041115691-001;1;FURTO CONSUMADO;2024;SET;9;08/09/2024;DOMINGO;18:00:00;De 18:00 as 18:59        ;De 18:00 as 23:59        ;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;IMOVEL RURAL;FAZENDA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-043521162-001;1;FURTO CONSUMADO;2024;SET;9;25/09/2024;QUARTA-FEIRA;13:00:00;De 13:00 as 13:59        ;De 12:00 as 17:59        ;Outros;IGNORADO;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);ESTABELECIMENTO INDUSTRIAL / PRODUCAO / EXTRA;OUTROS - ESTABELECIMENTO INDUSTRIAL / PRODUCA;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-050990575-001;1;FURTO CONSUMADO;2024;NOV;11;13/11/2024;QUARTA-FEIRA;07:22:05;De 07:00 as 07:59        ;De 06:00 as 11:59        ;Estabelecimento Comercial;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;ESTABELECIMENTO COMERCIAL / SERVICOS;BAR / LANCHONETE / RESTAURANTE / SIMILAR;RODOVIA;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-054160943-001;1;FURTO CONSUMADO;2024;NOV;11;28/11/2024;QUINTA-FEIRA;23:30:00;De 23:00 as 23:59        ;De 18:00 as 23:59        ;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;ESTABELECIMENTO COMERCIAL / SERVICOS;POSTO DE COMBUSTIVEL;RODOVIA;INVÁLIDO;CRUZ ALTA;CRUZ ALTA;CRUZ ALTA, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-012882170-001;1;FURTO CONSUMADO;2022;MAR;3;21/03/2022;SEGUNDA-FEIRA;23:00:00;De 23:00 as 23:59;De 18:00 as 23:59;Residência;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;IMOVEL RURAL;RESIDENCIA RURAL;POVOADO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-014912499-001;1;FURTO CONSUMADO;2022;ABR;4;07/04/2022;QUINTA-FEIRA;14:00:00;De 14:00 as 14:59;De 12:00 as 17:59;Residência;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);IMOVEL RURAL;SITIO;POVOADO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2022-017221471-001;1;FURTO CONSUMADO;2022;ABR;4;20/04/2022;QUARTA-FEIRA;16:00:00;De 16:00 as 16:59;De 12:00 as 17:59;Outros;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;RESIDENCIA UNIFAMILIAR URBANA;CASA;POVOADO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-004891831-001;1;FURTO CONSUMADO;2023;JAN;1;31/01/2023;TERÇA-FEIRA;07:23:14;De 07:00 as 07:59;De 06:00 as 11:59;Residência;VANTAGEM ECONOMICA;ARROMBAMENTO / ROMPIMENTO DE OBSTACULO;VIA DE ACESSO;VIA DE ACESSO PUBLICA;POVOADO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-010252694-001;1;FURTO CONSUMADO;2023;MAR;3;03/03/2023;SEXTA-FEIRA;16:28:50;De 16:00 as 16:59;De 12:00 as 17:59;Residência;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;IMOVEL RURAL;SITIO;POVOADO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2023-010640275-001;1;FURTO CONSUMADO;2023;MAR;3;06/03/2023;SEGUNDA-FEIRA;07:13:44;De 07:00 as 07:59;De 06:00 as 11:59;Outros;VANTAGEM ECONOMICA;CONHECIMENTO TECNICO ESPECIFICO;IMOVEL RURAL;SITIO;POVOADO;INVÁLIDO;;DESCONHECIDO;DESCONHECIDO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
